REF_DATE,GEO,Age group,VALUE
2012,British Columbia,65 years and older,718185
2012,British Columbia,90 years and older,35869
2013,Newfoundland and Labrador,All ages,526960
2013,Newfoundland and Labrador,65 to 69 years,32956
2013,Newfoundland and Labrador,70 to 74 years,21634
2013,Newfoundland and Labrador,75 to 79 years,15442
2013,Newfoundland and Labrador,80 to 84 years,10405
2013,Newfoundland and Labrador,85 to 89 years,5816
2013,Newfoundland and Labrador,65 years and older,89408
2013,Newfoundland and Labrador,90 years and older,3155
2013,Prince Edward Island,All ages,143942
2013,Prince Edward Island,65 to 69 years,8663
2013,Prince Edward Island,70 to 74 years,5740
2013,Prince Edward Island,75 to 79 years,4399
2013,Prince Edward Island,80 to 84 years,3104
2013,Prince Edward Island,85 to 89 years,1862
2013,Prince Edward Island,65 years and older,24975
2013,Prince Edward Island,90 years and older,1207
2013,Nova Scotia,All ages,939808
2013,Nova Scotia,65 to 69 years,56676
2013,Nova Scotia,70 to 74 years,39528
2013,Nova Scotia,75 to 79 years,28770
2013,Nova Scotia,80 to 84 years,20668
2013,Nova Scotia,85 to 89 years,12681
2013,Nova Scotia,65 years and older,166674
2013,Nova Scotia,90 years and older,8351
2013,New Brunswick,All ages,758261
2013,New Brunswick,65 to 69 years,45061
2013,New Brunswick,70 to 74 years,31706
2013,New Brunswick,75 to 79 years,22636
2013,New Brunswick,80 to 84 years,16818
2013,New Brunswick,85 to 89 years,10591
2013,New Brunswick,65 years and older,133417
2013,New Brunswick,90 years and older,6605
2013,Quebec,All ages,8108825
2013,Quebec,65 to 69 years,442241
2013,Quebec,70 to 74 years,319853
2013,Quebec,75 to 79 years,231752
2013,Quebec,80 to 84 years,182332
2013,Quebec,85 to 89 years,109860
2013,Quebec,65 years and older,1344221
2013,Quebec,90 years and older,58183
2013,Ontario,All ages,13511902
2013,Ontario,65 to 69 years,654740
2013,Ontario,70 to 74 years,474680
2013,Ontario,75 to 79 years,366472
2013,Ontario,80 to 84 years,280904
2013,Ontario,85 to 89 years,175962
2013,Ontario,65 years and older,2048361
2013,Ontario,90 years and older,95603
2013,Manitoba,All ages,1263393
2013,Manitoba,65 to 69 years,57171
