REF_DATE,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2023,Newfoundland and Labrador,2021A000210,Women+,65 years and older,Persons,249,units,0,v467003,2.3.104,69616,,,,0
2023,Prince Edward Island,2021A000211,Total - gender,65 years and older,Persons,249,units,0,v467316,3.1.104,35729,,,,0
2023,Prince Edward Island,2021A000211,Men+,65 years and older,Persons,249,units,0,v467317,3.2.104,16346,,,,0
2023,Prince Edward Island,2021A000211,Women+,65 years and older,Persons,249,units,0,v467318,3.3.104,19383,,,,0
2023,Nova Scotia,2021A000212,Total - gender,65 years and older,Persons,249,units,0,v467631,4.1.104,232630,,,,0
2023,Nova Scotia,2021A000212,Men+,65 years and older,Persons,249,units,0,v467632,4.2.104,107515,,,,0
2023,Nova Scotia,2021A000212,Women+,65 years and older,Persons,249,units,0,v467633,4.3.104,125115,,,,0
2023,New Brunswick,2021A000213,Total - gender,65 years and older,Persons,249,units,0,v467946,5.1.104,191378,,,,0
2023,New Brunswick,2021A000213,Men+,65 years and older,Persons,249,units,0,v467947,5.2.104,89319,,,,0
2023,New Brunswick,2021A000213,Women+,65 years and older,Persons,249,units,0,v467948,5.3.104,102059,,,,0
2023,Quebec,2021A000224,Total - gender,65 years and older,Persons,249,units,0,v468261,6.1.104,1847289,,,,0
2023,Quebec,2021A000224,Men+,65 years and older,Persons,249,units,0,v468262,6.2.104,858152,,,,0
2023,Quebec,2021A000224,Women+,65 years and older,Persons,249,units,0,v468263,6.3.104,989137,,,,0
2023,Ontario,2021A000235,Total - gender,65 years and older,Persons,249,units,0,v468576,7.1.104,2859636,,,,0
2023,Ontario,2021A000235,Men+,65 years and older,Persons,249,units,0,v468577,7.2.104,1304552,,,,0
2023,Ontario,2021A000235,Women+,65 years and older,Persons,249,units,0,v468578,7.3.104,1555084,,,,0
2023,Manitoba,2021A000246,Total - gender,65 years and older,Persons,249,units,0,v468891,8.1.104,243724,,,,0
2023,Manitoba,2021A000246,Men+,65 years and older,Persons,249,units,0,v468892,8.2.104,111804,,,,0
2023,Manitoba,2021A000246,Women+,65 years and older,Persons,249,units,0,v468893,8.3.104,131920,,,,0
2023,Saskatchewan,2021A000247,Total - gender,65 years and older,Persons,249,units,0,v469206,9.1.104,211510,,,,0
2023,Saskatchewan,2021A000247,Men+,65 years and older,Persons,249,units,0,v469207,9.2.104,99098,,,,0
2023,Saskatchewan,2021A000247,Women+,65 years and older,Persons,249,units,0,v469208,9.3.104,112412,,,,0
2023,Alberta,2021A000248,Total - gender,65 years and older,Persons,249,units,0,v469521,10.1.104,705070,,,,0
2023,Alberta,2021A000248,Men+,65 years and older,Persons,249,units,0,v469522,10.2.104,332599,,,,0
2023,Alberta,2021A000248,Women+,65 years and older,Persons,249,units,0,v469523,10.3.104,372471,,,,0
2023,British Columbia,2021A000259,Total - gender,65 years and older,Persons,249,units,0,v469836,11.1.104,1090768,,,,0
2023,British Columbia,2021A000259,Men+,65 years and older,Persons,249,units,0,v469837,11.2.104,508519,,,,0
2023,British Columbia,2021A000259,Women+,65 years and older,Persons,249,units,0,v469838,11.3.104,582249,,,,0
2023,Yukon,2021A000260,Total - gender,65 years and older,Persons,249,units,0,v470151,12.1.104,6777,,,,0
2023,Yukon,2021A000260,Men+,65 years and older,Persons,249,units,0,v470152,12.2.104,3511,,,,0
2023,Yukon,2021A000260,Women+,65 years and older,Persons,249,units,0,v470153,12.3.104,3266,,,,0
2023,Northwest Territories,2021A000261,Total - gender,65 years and older,Persons,249,units,0,v479955,14.1.104,4762,,,,0
2023,Northwest Territories,2021A000261,Men+,65 years and older,Persons,249,units,0,v479956,14.2.104,2409,,,,0
2023,Northwest Territories,2021A000261,Women+,65 years and older,Persons,249,units,0,v479957,14.3.104,2353,,,,0
2023,Nunavut,2021A000262,Total - gender,65 years and older,Persons,249,units,0,v480270,15.1.104,1899,,,,0
2023,Nunavut,2021A000262,Men+,65 years and older,Persons,249,units,0,v480271,15.2.104,955,,,,0
2023,Nunavut,2021A000262,Women+,65 years and older,Persons,249,units,0,v480272,15.3.104,944,,,,0
2024,Canada,2021A000011124,Total - gender,65 years and older,Persons,249,units,0,v466686,1.1.104,7835726,,,,0
2024,Canada,2021A000011124,Men+,65 years and older,Persons,249,units,0,v466687,1.2.104,3626317,,,,0
2024,Canada,2021A000011124,Women+,65 years and older,Persons,249,units,0,v466688,1.3.104,4209409,,,,0
2024,Newfoundland and Labrador,2021A000210,Total - gender,65 years and older,Persons,249,units,0,v467001,2.1.104,134891,,,,0
2024,Newfoundland and Labrador,2021A000210,Men+,65 years and older,Persons,249,units,0,v467002,2.2.104,63157,,,,0
2024,Newfoundland and Labrador,2021A000210,Women+,65 years and older,Persons,249,units,0,v467003,2.3.104,71734,,,,0
2024,Prince Edward Island,2021A000211,Total - gender,65 years and older,Persons,249,units,0,v467316,3.1.104,36849,,,,0
2024,Prince Edward Island,2021A000211,Men+,65 years and older,Persons,249,units,0,v467317,3.2.104,16858,,,,0
2024,Prince Edward Island,2021A000211,Women+,65 years and older,Persons,249,units,0,v467318,3.3.104,19991,,,,0
2024,Nova Scotia,2021A000212,Total - gender,65 years and older,Persons,249,units,0,v467631,4.1.104,239758,,,,0
2024,Nova Scotia,2021A000212,Men+,65 years and older,Persons,249,units,0,v467632,4.2.104,110773,,,,0
2024,Nova Scotia,2021A000212,Women+,65 years and older,Persons,249,units,0,v467633,4.3.104,128985,,,,0
2024,New Brunswick,2021A000213,Total - gender,65 years and older,Persons,249,units,0,v467946,5.1.104,197263,,,,0
2024,New Brunswick,2021A000213,Men+,65 years and older,Persons,249,units,0,v467947,5.2.104,92138,,,,0
2024,New Brunswick,2021A000213,Women+,65 years and older,Persons,249,units,0,v467948,5.3.104,105125,,,,0
2024,Quebec,2021A000224,Total - gender,65 years and older,Persons,249,units,0,v468261,6.1.104,1906357,,,,0
2024,Quebec,2021A000224,Men+,65 years and older,Persons,249,units,0,v468262,6.2.104,887752,,,,0
2024,Quebec,2021A000224,Women+,65 years and older,Persons,249,units,0,v468263,6.3.104,1018605,,,,0
2024,Ontario,2021A000235,Total - gender,65 years and older,Persons,249,units,0,v468576,7.1.104,2964438,,,,0
2024,Ontario,2021A000235,Men+,65 years and older,Persons,249,units,0,v468577,7.2.104,1354338,,,,0
2024,Ontario,2021A000235,Women+,65 years and older,Persons,249,units,0,v468578,7.3.104,1610100,,,,0
2024,Manitoba,2021A000246,Total - gender,65 years and older,Persons,249,units,0,v468891,8.1.104,251817,,,,0
2024,Manitoba,2021A000246,Men+,65 years and older,Persons,249,units,0,v468892,8.2.104,115641,,,,0
2024,Manitoba,2021A000246,Women+,65 years and older,Persons,249,units,0,v468893,8.3.104,136176,,,,0
2024,Saskatchewan,2021A000247,Total - gender,65 years and older,Persons,249,units,0,v469206,9.1.104,218531,,,,0
2024,Saskatchewan,2021A000247,Men+,65 years and older,Persons,249,units,0,v469207,9.2.104,102561,,,,0
2024,Saskatchewan,2021A000247,Women+,65 years and older,Persons,249,units,0,v469208,9.3.104,115970,,,,0
2024,Alberta,2021A000248,Total - gender,65 years and older,Persons,249,units,0,v469521,10.1.104,742451,,,,0
2024,Alberta,2021A000248,Men+,65 years and older,Persons,249,units,0,v469522,10.2.104,350423,,,,0
2024,Alberta,2021A000248,Women+,65 years and older,Persons,249,units,0,v469523,10.3.104,392028,,,,0
2024,British Columbia,2021A000259,Total - gender,65 years and older,Persons,249,units,0,v469836,11.1.104,1129229,,,,0
2024,British Columbia,2021A000259,Men+,65 years and older,Persons,249,units,0,v469837,11.2.104,525472,,,,0
2024,British Columbia,2021A000259,Women+,65 years and older,Persons,249,units,0,v469838,11.3.104,603757,,,,0
2024,Yukon,2021A000260,Total - gender,65 years and older,Persons,249,units,0,v470151,12.1.104,7101,,,,0
2024,Yukon,2021A000260,Men+,65 years and older,Persons,249,units,0,v470152,12.2.104,3652,,,,0
2024,Yukon,2021A000260,Women+,65 years and older,Persons,249,units,0,v470153,12.3.104,3449,,,,0
2024,Northwest Territories,2021A000261,Total - gender,65 years and older,Persons,249,units,0,v479955,14.1.104,5024,,,,0
2024,Northwest Territories,2021A000261,Men+,65 years and older,Persons,249,units,0,v479956,14.2.104,2543,,,,0
2024,Northwest Territories,2021A000261,Women+,65 years and older,Persons,249,units,0,v479957,14.3.104,2481,,,,0
